timw (s),Mesh1,Mesh2,Mesh3,Mesh4,Analytical
164,300.5027962,300.4586797,300.4919744,300.4414563,300.474996
165,300.5099228,300.4653895,300.4990219,300.448011,300.4818963
166,300.5170811,300.4721314,300.5061012,300.454598,300.4888287
167,300.5242704,300.4789052,300.5132119,300.4612171,300.4957927
168,300.5314906,300.4857105,300.5203535,300.467868,300.502788
169,300.5387413,300.4925468,300.5275259,300.4745502,300.5098142
170,300.546022,300.499414,300.5347285,300.4812635,300.5168711
171,300.5533325,300.5063116,300.541961,300.4880075,300.5239582
172,300.5606723,300.5132392,300.5492232,300.4947818,300.5310751
173,300.5680413,300.5201967,300.5565146,300.5015862,300.5382217
174,300.5754389,300.5271835,300.5638349,300.5084203,300.5453974
175,300.5828648,300.5341995,300.5711838,300.5152838,300.552602
176,300.5903188,300.5412443,300.5785609,300.5221763,300.5598351
177,300.5978005,300.5483175,300.585966,300.5290976,300.5670965
178,300.6053096,300.5554188,300.5933985,300.5360473,300.5743857
179,300.6128456,300.562548,300.6008584,300.5430251,300.5817025
180,300.6204085,300.5697046,300.6083451,300.5500307,300.5890465
181,300.6279977,300.5768885,300.6158585,300.5570638,300.5964174
182,300.635613,300.5840993,300.6233982,300.5641241,300.603815
183,300.6432541,300.5913366,300.6309638,300.5712113,300.6112388
184,300.6509206,300.5986002,300.6385552,300.5783251,300.6186887
185,300.6586123,300.6058899,300.6461719,300.5854652,300.6261643
186,300.6663289,300.6132052,300.6538136,300.5926312,300.6336652
187,300.6740701,300.6205459,300.6614802,300.599823,300.6411913
188,300.6818355,300.6279117,300.6691712,300.6070403,300.6487421
189,300.6896249,300.6353024,300.6768864,300.6142826,300.6563175
190,300.6974381,300.6427176,300.6846255,300.6215499,300.6639171
191,300.7052746,300.6501571,300.6923883,300.6288417,300.6715406
192,300.7131342,300.6576206,300.7001743,300.6361579,300.6791878
193,300.7210168,300.6651078,300.7079834,300.643498,300.6868584
194,300.7289218,300.6726185,300.7158153,300.650862,300.6945521
195,300.7368492,300.6801523,300.7236697,300.6582495,300.7022687
196,300.7447987,300.6877091,300.7315464,300.6656602,300.7100078
197,300.7527699,300.6952885,300.739445,300.6730939,300.7177692
198,300.7607626,300.7028904,300.7473653,300.6805503,300.7255527
199,300.7687765,300.7105143,300.7553071,300.6880292,300.7333579
200,300.7768115,300.7181602,300.76327,300.6955303,300.7411847
201,300.7848671,300.7258277,300.7712539,300.7030534,300.7490328
202,300.7929433,300.7335165,300.7792585,300.7105981,300.7569018
203,300.8010397,300.7412266,300.7872835,300.7181644,300.7647917
204,300.8091561,300.7489575,300.7953287,300.7257519,300.7727021
205,300.8172922,300.756709,300.8033938,300.7333604,300.7806327
206,300.8254478,300.764481,300.8114787,300.7409896,300.7885834
207,300.8336227,300.7722732,300.819583,300.7486394,300.7965539
208,300.8418166,300.7800853,300.8277065,300.7563094,300.804544
209,300.8500294,300.7879172,300.8358491,300.7639995,300.8125533
210,300.8582607,300.7957685,300.8440103,300.7717094,300.8205819
211,300.8665103,300.8036391,300.8521902,300.779439,300.8286292
212,300.874778,300.8115287,300.8603883,300.7871879,300.8366953
213,300.8830637,300.8194372,300.8686045,300.7949559,300.8447797
214,300.891367,300.8273643,300.8768386,300.8027429,300.8528824
215,300.8996878,300.8353097,300.8850904,300.8105487,300.861003
216,300.9080258,300.8432733,300.8933596,300.8183729,300.8691415
217,300.9163808,300.8512549,300.901646,300.8262155,300.8772975
218,300.9247527,300.8592542,300.9099494,300.8340761,300.8854708
219,300.9331412,300.8672711,300.9182696,300.8419546,300.8936613
220,300.941546,300.8753053,300.9266064,300.8498508,300.9018687
221,300.9499671,300.8833567,300.9349596,300.8577645,300.9100929
222,300.9584042,300.891425,300.943329,300.8656954,300.9183336
223,300.9668571,300.89951,300.9517144,300.8736434,300.9265906
224,300.9753255,300.9076116,300.9601156,300.8816083,300.9348637
225,300.9838094,300.9157295,300.9685323,300.8895899,300.9431528
226,300.9923085,300.9238635,300.9769645,300.897588,300.9514576
227,301.0008227,300.9320136,300.9854119,300.9056024,300.959778
228,301.0093516,300.9401794,300.9938743,300.9136329,300.9681137
229,301.0178953,300.9483608,301.0023516,300.9216793,300.9764647
230,301.0264534,300.9565576,301.0108435,300.9297415,300.9848306
231,301.0350258,300.9647696,301.0193499,300.9378192,300.9932113
232,301.0436123,300.9729967,301.0278706,300.9459124,301.0016067
233,301.0522127,300.9812386,301.0364054,300.9540207,301.0100165
234,301.0608269,300.9894952,301.0449542,300.962144,301.0184405
235,301.0694546,300.9977663,301.0535167,300.9702822,301.0268787
236,301.0780958,301.0060518,301.0620928,300.9784351,301.0353308
237,301.0867502,301.0143515,301.0706823,300.9866025,301.0437967
238,301.0954177,301.0226651,301.0792851,300.9947842,301.0522761
239,301.1040981,301.0309926,301.087901,301.0029801,301.060769
240,301.1127913,301.0393337,301.0965298,301.01119,301.0692751
241,301.121497,301.0476884,301.1051713,301.0194138,301.0777943
242,301.1302151,301.0560564,301.1138255,301.0276512,301.0863264
243,301.1389455,301.0644375,301.122492,301.0359021,301.0948713
244,301.147688,301.0728317,301.1311709,301.0441664,301.1034288
245,301.1564424,301.0812388,301.1398619,301.0524439,301.1119988
246,301.1652086,301.0896586,301.1485648,301.0607345,301.1205811
247,301.1739865,301.0980909,301.1572796,301.0690379,301.1291755
248,301.1827759,301.1065357,301.1660061,301.0773541,301.1377818
