Time,101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),109 (C),110 (C),111 (C),112 (C),113 (C),114 (C),115 (C),Temp,%RH
17.5,31.377978,31.371353,31.415063,31.510169,31.367344,31.329643,31.232876,31.436275,31.402596,29.401168,29.553094,28.410331,28.863944,30.305796,28.982986,29,19.6077
17.75,31.429958,31.423308,31.469242,31.55379,31.413034,31.401348,31.290032,31.46227,31.457658,29.4718,29.596728,28.327123,28.824489,30.411702,28.970525,29,19.49306
18,31.411245,31.398369,31.435901,31.537173,31.429648,31.386799,31.276522,31.451872,31.434802,29.413633,29.438815,28.285519,28.647978,30.309949,28.857339,29,19.37842
18.25,31.374859,31.364079,31.421315,31.520555,31.395381,31.37329,31.257817,31.447713,31.429608,29.28795,29.420115,28.176309,28.618905,30.275685,28.786728,28.9,19.361224
18.5,31.460106,31.445129,31.501541,31.596373,31.440032,31.422132,31.313934,31.484106,31.478436,29.349233,29.465826,28.137825,28.638633,30.190545,28.724424,28.8,19.229388
18.75,31.445552,31.430582,31.471326,31.557945,31.42861,31.427328,31.294189,31.480987,31.461814,29.233937,29.394142,28.07958,28.465237,30.063872,28.776344,28.7,19.097552
19,31.408126,31.362001,31.412979,31.53925,31.411995,31.388878,31.277562,31.477867,31.445191,29.250557,29.344275,28.061898,28.474582,29.861403,28.682888,28.7,18.982912
19.25,31.464264,31.447207,31.508834,31.609875,31.452493,31.446034,31.337835,31.535056,31.477397,29.214202,29.271552,28.018214,28.434088,29.899821,28.736885,28.6,18.965716
19.5,31.455948,31.447207,31.49529,31.593257,31.483645,31.427328,31.316012,31.504902,31.469086,29.252634,29.296486,27.988051,28.444471,29.92474,28.660043,28.5,18.94852
19.75,31.395651,31.390057,31.448404,31.572485,31.43484,31.415897,31.316012,31.497624,31.49402,29.154996,29.278824,28.040056,28.568029,30.16874,28.671466,28.4,18.931324
20,31.491294,31.484615,31.516127,31.622338,31.474299,31.461622,31.328482,31.540255,31.510642,29.183041,29.143767,28.015093,28.438241,30.059719,28.615392,28.4,18.931324
20.25,31.47466,31.451364,31.514044,31.617145,31.465992,31.444994,31.3316,31.523619,31.487786,29.234976,29.389987,28.011973,28.512999,29.618441,28.66212,28.4,18.931324
20.5,31.510007,31.498123,31.534882,31.661805,31.500259,31.494876,31.365894,31.562091,31.547004,29.165383,29.261163,28.062938,28.474582,29.887361,28.656928,28.3,19.028768
20.75,31.50169,31.500201,31.538007,31.632724,31.509605,31.486562,31.355502,31.555852,31.526226,29.195506,29.287136,28.066058,28.614752,29.932008,28.617469,28.3,19.028768
21,31.468423,31.471106,31.525505,31.610913,31.472222,31.4637,31.356541,31.540255,31.517914,28.995036,29.062733,28.098301,28.449662,29.66828,28.59047,28.2,19.126212
21.25,31.50065,31.485654,31.576558,31.678422,31.524142,31.488641,31.394991,31.591206,31.549081,29.11241,29.248696,28.128464,28.57322,29.76588,28.634083,28.2,19.240852
21.5,31.503769,31.515788,31.565097,31.668036,31.543872,31.485523,31.377325,31.586007,31.530381,29.222512,29.249735,28.051497,28.56076,29.925778,28.626814,28.2,19.240852
21.75,31.435156,31.447207,31.481745,31.620261,31.500259,31.495915,31.388756,31.591206,31.538692,29.031391,29.033644,28.050457,28.45693,30.084638,28.651736,28.2,19.240852
22,31.546393,31.542804,31.602605,31.689847,31.545949,31.526052,31.42305,31.598484,31.582326,29.141493,29.061694,28.059818,28.457969,29.766918,28.593586,28.2,19.355492
22.25,31.532878,31.529296,31.558845,31.664921,31.543872,31.512542,31.39603,31.603683,31.554276,29.023081,29.086628,28.073339,28.375943,29.761727,28.576971,28.2,19.355492
22.5,31.459066,31.45552,31.508834,31.63584,31.513758,31.506307,31.405383,31.590166,31.562587,29.016849,29.059616,28.035895,28.343756,29.841676,28.637198,28.2,19.355492
22.75,31.563026,31.531374,31.604689,31.697117,31.578139,31.544758,31.425128,31.6224,31.584404,29.098906,29.124028,27.98389,28.349986,29.680739,28.492861,28.2,19.470132
23,31.513126,31.517866,31.582809,31.6805,31.539718,31.538522,31.42201,31.62032,31.586482,29.093713,29.085589,27.904843,28.337526,29.459581,28.479362,28.2,19.470132
23.25,31.510007,31.531374,31.576558,31.682577,31.561525,31.538522,31.413697,31.625519,31.59791,28.999191,29.040916,27.854918,28.248232,29.327717,28.489746,28.1,19.338296
23.5,31.575502,31.580212,31.642197,31.742816,31.608253,31.552032,31.445912,31.637997,31.594793,28.924405,28.864303,27.8726,28.167245,29.39936,28.414981,28.1,19.452936
23.75,31.513126,31.503319,31.576558,31.689847,31.54491,31.560346,31.441755,31.646315,31.602065,28.990882,29.000399,27.837236,28.193202,29.608058,28.400443,28.1,19.452936
24,31.567185,31.567743,31.631778,31.725159,31.580216,31.565542,31.471892,31.650474,31.593754,28.822612,28.869498,27.827875,28.132981,29.609097,28.472093,28,19.43574
24.25,31.569264,31.554234,31.633862,31.760472,31.592677,31.564502,31.466696,31.656713,31.624921,28.861044,28.912093,27.77067,28.203585,29.709812,28.313218,28,19.43574
24.5,31.523522,31.518905,31.583851,31.691924,31.577101,31.562424,31.438638,31.648395,31.620765,28.961798,28.932871,27.820595,28.21916,29.245692,28.342293,27.9,19.418544
24.75,31.585898,31.59372,31.647407,31.737623,31.598907,31.589443,31.493715,31.654633,31.629077,28.843386,28.89547,27.816434,28.243041,29.263343,28.259221,27.9,19.418544
25,31.591096,31.577095,31.652616,31.737623,31.612406,31.597757,31.476049,31.691026,31.609338,28.771716,28.771841,27.785231,28.168283,29.436739,28.311141,27.9,19.418544
25.25,31.533918,31.545922,31.602605,31.745931,31.592677,31.586326,31.459422,31.675429,31.634271,28.793529,28.883003,27.799793,28.163092,29.30799,28.360984,27.9,19.533184
25.5,31.591096,31.594759,31.636988,31.738661,31.625906,31.596718,31.476049,31.697265,31.63531,28.90467,28.891315,27.801873,28.140249,29.492807,28.308026,27.8,19.515988
25.75,31.57966,31.587486,31.650533,31.762549,31.64875,31.621658,31.502029,31.698305,31.657127,28.868315,28.894431,27.792512,28.240964,29.507343,28.314256,27.8,19.515988
26,31.55471,31.564626,31.609898,31.742816,31.608253,31.58009,31.484362,31.696225,31.628038,28.861044,28.901704,27.76859,28.193202,29.351598,28.323602,27.8,19.630628
26.25,31.628521,31.647753,31.685957,31.781244,31.645635,31.625815,31.516578,31.713902,31.630116,28.740555,28.806125,27.746748,28.203585,29.383785,28.25299,27.8,19.630628
26.5,31.583818,31.612424,31.666161,31.772935,31.631098,31.63205,31.509303,31.72222,31.669594,28.812225,28.758335,27.786271,28.194241,29.219734,28.286219,27.8,19.745268
26.75,31.568224,31.583329,31.626569,31.750086,31.618637,31.600874,31.496833,31.72326,31.643621,28.728091,28.724052,27.77379,28.165168,29.438815,28.300757,27.8,19.745268
27,31.669066,31.647753,31.694292,31.823826,31.669518,31.650756,31.537362,31.728459,31.661283,28.724974,28.72613,27.729066,28.040572,29.102406,28.216646,27.8,19.859908
27.25,31.627482,31.620737,31.664077,31.785398,31.675749,31.652834,31.537362,31.753414,31.664399,28.773793,28.778075,27.77067,28.001117,29.587292,28.311141,27.7,19.842712
27.5,31.594214,31.585407,31.664077,31.787475,31.650827,31.625815,31.520734,31.72534,31.670633,28.721858,28.775997,27.781071,28.012538,29.284109,28.222877,27.7,19.842712
27.75,31.640996,31.649832,31.709921,31.854984,31.689248,31.654913,31.563342,31.757574,31.691411,28.748865,28.768724,27.756109,28.114291,29.465811,28.289334,27.7,19.957352
28,31.624363,31.628011,31.679706,31.797861,31.684056,31.663226,31.561263,31.757574,31.705955,28.665769,28.698079,27.761309,28.022921,29.495922,28.261298,27.7,19.957352
28.25,31.594214,31.611385,31.666161,31.78436,31.647712,31.641403,31.534244,31.744056,31.699722,28.723936,28.716779,27.694743,28.024998,29.28307,28.24676,27.7,19.957352
