t(s),101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),109 (C),112 (C),113 (C),114 (C),115 (C),HTU21D_1_Temp,HTU21D_1_RH,HTU21D_2_Temp,HTU21D_2_RH
35,33.828315,33.884936,33.863528,33.952956,33.869888,33.885036,33.755014,33.85485,31.94698,31.761534,31.712001,31.725152,31.600792,31.6,35.875116,31.2,33.89364
35.25,33.811681,33.887014,33.871863,33.950879,33.889618,33.881918,33.776838,33.863169,31.971914,31.766734,31.723422,31.749033,31.605984,31.6,31.174876,31.1,30.2281
35.5,33.81376,33.881818,33.866654,33.956072,33.89481,33.89335,33.771642,33.874606,31.982303,31.769854,31.73692,31.740726,31.632982,31.5,28.17704,31.1,31.73744
35.75,33.808562,33.86831,33.866654,33.964381,33.884426,33.895428,33.788269,33.891243,31.988536,31.766734,31.756648,31.757339,31.644405,31.5,35.85792,31.1,50.81981
36,33.827275,33.880779,33.874989,33.977883,33.884426,33.895428,33.772681,33.878766,31.986458,31.782336,31.738997,31.784335,31.636098,31.6,58.803116,31.2,61.81643
36.25,33.882374,33.892209,33.899995,33.977883,33.897925,33.887114,33.788269,33.868368,31.972953,31.756333,31.721346,31.746956,31.62779,31.6,56.968876,31.1,48.5558
36.5,33.852226,33.906757,33.896869,33.978921,33.902078,33.906859,33.777877,33.85797,31.950097,31.762574,31.742112,31.733458,31.604946,31.5,43.99736,31.1,39.49976
36.75,33.885493,33.878701,33.885408,33.984114,33.895848,33.906859,33.76125,33.85797,31.977108,31.760494,31.733805,31.73865,31.635059,31.5,36.0872,31,34.43269
37,33.860542,33.911952,33.902078,33.990346,33.895848,33.895428,33.780994,33.879805,32.007236,31.798977,31.750418,31.766684,31.654789,31.4,31.828324,30.9,31.09058
37.25,33.855344,33.914031,33.905204,33.984114,33.885464,33.901663,33.767485,33.885004,32.123593,31.909228,31.865669,31.898548,31.781474,31.3,29.059768,30.9,32.16868
37.5,33.863661,33.900522,33.905204,33.970613,33.904155,33.903742,33.78619,33.888124,32.266961,32.083965,32.047372,32.081289,32.016152,31.3,36.282088,30.9,51.68229
37.75,33.843909,33.922343,33.916665,33.995539,33.890656,33.909977,33.789308,33.893323,32.223327,32.069403,31.978844,32.103093,32.032766,31.4,60.602964,31.1,64.7273
38,33.849107,33.892209,33.913539,33.984114,33.902078,33.912055,33.800739,33.891243,32.181771,32.044441,31.953925,32.072982,31.974616,31.5,58.90056,31.1,50.28076
38.25,33.860542,33.890131,33.893743,33.982037,33.890656,33.906859,33.792426,33.893323,32.148527,31.970594,31.898895,31.99511,31.883237,31.5,45.48768,31,40.90129
38.5,33.835592,33.892209,33.888534,33.951918,33.912462,33.898546,33.789308,33.891243,32.06022,31.875945,31.838674,31.868437,31.759667,31.4,37.445684,31,35.51079
38.75,33.847028,33.883897,33.896869,33.976844,33.918693,33.920369,33.809053,33.891243,32.018664,31.818739,31.78572,31.801986,31.648558,31.4,33.089364,30.9,32.16868
39,33.838711,33.875584,33.896869,33.976844,33.904155,33.906859,33.811131,33.891243,32.035287,31.848902,31.838674,31.821714,31.718131,31.4,30.108724,30.9,30.44372
39.25,33.824156,33.878701,33.885408,33.96542,33.882349,33.885036,33.794504,33.882925,32.19216,32.005957,31.992342,31.986804,31.891544,31.3,30.091528,30.9,40.57786
